Sample.ID	Patient.ID	changed
IMR5_AUTONOMIC_GANGLIA	IMR5	wt
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	INA6	wt
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	IOMMLEE	wt
IPC298_SKIN	IPC298	wt
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	ISHIKAWAHERAKLIO02ER	mut
ISTMEL1_SKIN	ISTMEL1	wt
ISTMES1_PLEURA	ISTMES1	wt
ISTMES2_PLEURA	ISTMES2	wt
ISTSL1_LUNG	ISTSL1	wt
ISTSL2_LUNG	ISTSL2	wt
J82_URINARY_TRACT	J82	wt
JAR_PLACENTA	JAR	wt
JEG3_PLACENTA	JEG3	wt
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JEKO1	wt
JHC7_BONE	JHC7	wt
JHESOAD1_OESOPHAGUS	JHESOAD1	wt
JHH1_LIVER	JHH1	wt
JHH2_LIVER	JHH2	mut
JHH4_LIVER	JHH4	wt
JHH5_LIVER	JHH5	wt
JHH6_LIVER	JHH6	wt
JHH7_LIVER	JHH7	wt
JHOC5_OVARY	JHOC5	wt
JHOM1_OVARY	JHOM1	wt
JHOM2B_OVARY	JHOM2B	wt
JHOS2_OVARY	JHOS2	wt
JHOS3_OVARY	JHOS3	wt
JHOS4_OVARY	JHOS4	mut
JHU011_UPPER_AERODIGESTIVE_TRACT	JHU011	wt
JHU022_UPPER_AERODIGESTIVE_TRACT	JHU022	wt
JHU028_LUNG	JHU028	wt
JHU029_UPPER_AERODIGESTIVE_TRACT	JHU029	wt
