Sample ID	Patient ID	changed
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
OVTOKO_OVARY	OVTOKO_OVARY	wt
OVCAR4_OVARY	OVCAR4_OVARY	wt
HLF_LIVER	HLF_LIVER	wt
HCT15_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	wt
SW1463_LARGE_INTESTINE	SW1463_LARGE_INTESTINE	wt
SF295_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	wt
JHH4_LIVER	JHH4_LIVER	wt
OE33_OESOPHAGUS	OE33_OESOPHAGUS	wt
JHH1_LIVER	JHH1_LIVER	wt
SJSA1_BONE	SJSA1_BONE	wt
NCIH2228_LUNG	NCIH2228_LUNG	wt
RERFLCAI_LUNG	RERFLCAI_LUNG	wt
SKMES1_LUNG	SKMES1_LUNG	wt
NCIH520_LUNG	NCIH520_LUNG	wt
JHH5_LIVER	JHH5_LIVER	wt
FU97_STOMACH	FU97_STOMACH	wt
NCIH1963_LUNG	NCIH1963_LUNG	wt
J82_URINARY_TRACT	J82_URINARY_TRACT	wt
HCC15_LUNG	HCC15_LUNG	wt
M059K_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	wt
CALU6_LUNG	CALU6_LUNG	wt
SKLU1_LUNG	SKLU1_LUNG	wt
SW900_LUNG	SW900_LUNG	wt
MFE280_ENDOMETRIUM	MFE280_ENDOMETRIUM	wt
MFE296_ENDOMETRIUM	MFE296_ENDOMETRIUM	wt
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	wt
GI1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	wt
PC14_LUNG	PC14_LUNG	wt
KYSE410_OESOPHAGUS	KYSE410_OESOPHAGUS	wt
A204_SOFT_TISSUE	A204_SOFT_TISSUE	wt
PATU8902_PANCREAS	PATU8902_PANCREAS	wt
NCIH810_LUNG	NCIH810_LUNG	wt
RERFLCMS_LUNG	RERFLCMS_LUNG	wt
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
DANG_PANCREAS	DANG_PANCREAS	wt
NCIH460_LUNG	NCIH460_LUNG	wt
KYSE140_OESOPHAGUS	KYSE140_OESOPHAGUS	wt
HUPT3_PANCREAS	HUPT3_PANCREAS	wt
EFE184_ENDOMETRIUM	EFE184_ENDOMETRIUM	wt
GCIY_STOMACH	GCIY_STOMACH	wt
SH10TC_STOMACH	SH10TC_STOMACH	wt
CAOV4_OVARY	CAOV4_OVARY	wt
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	wt
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	wt
KPNSI9S_AUTONOMIC_GANGLIA	KPNSI9S_AUTONOMIC_GANGLIA	wt
LU99_LUNG	LU99_LUNG	wt
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
MKN1_STOMACH	MKN1_STOMACH	wt
MKN74_STOMACH	MKN74_STOMACH	wt
KP3_PANCREAS	KP3_PANCREAS	wt
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC2_UPPER_AERODIGESTIVE_TRACT	wt
HUH7_LIVER	HUH7_LIVER	wt
KMRC20_KIDNEY	KMRC20_KIDNEY	wt
HUCCT1_BILIARY_TRACT	HUCCT1_BILIARY_TRACT	wt
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	wt
HEC108_ENDOMETRIUM	HEC108_ENDOMETRIUM	wt
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUH28_BILIARY_TRACT	HUH28_BILIARY_TRACT	wt
