Sample.ID	Patient.ID	changed
SW1417_LARGE_INTESTINE	SW1417	wt
HS606T_FIBROBLAST	HS606T	wt
DMS79_LUNG	DMS79	wt
NCIH2106_LUNG	NCIH2106	wt
SW579_THYROID	SW579	wt
MDAMB468_BREAST	MDAMB468	wt
NCIH526_LUNG	NCIH526	wt
TOV112D_OVARY	TOV112D	wt
BT549_BREAST	BT549	wt
A375_SKIN	A375	wt
NCIH446_LUNG	NCIH446	wt
HS294T_SKIN	HS294T	wt
SKMEL5_SKIN	SKMEL5	wt
HS944T_SKIN	HS944T	wt
TCCPAN2_PANCREAS	TCCPAN2	wt
DOV13_OVARY	DOV13	wt
RMGI_OVARY	RMGI	wt
PC3_PROSTATE	PC3	wt
